Task,Structural Group,Nodes,Local,MEC,V2V
T1,Depth 0,955,28.06%,70.26%,1.68%
T1,Depth 1,831,40.07%,48.01%,11.91%
T1,Depth >=2,214,45.33%,45.33%,9.35%
T1,Exit nodes,692,40.03%,48.12%,11.85%
T1,Successors 1-2,514,39.49%,53.70%,6.81%
T1,Successors >=3,794,27.46%,70.28%,2.27%
T2,Depth 0,918,26.80%,70.81%,2.40%
T2,Depth 1,865,40.46%,47.63%,11.91%
T2,Depth >=2,217,41.94%,47.93%,10.14%
T2,Exit nodes,830,39.04%,48.07%,12.89%
T2,Successors 1-2,576,35.76%,59.03%,5.21%
T2,Successors >=3,594,26.43%,71.89%,1.68%
